name_firm,street_name,category
Цветы,ул. Советская 200 ,Организация праздников
Высокие Сезоны,ул. Красноармейская 34А ,Продажа и установка окон
"Гомельский государственный университет имени Франциска Скорины, корпус № 4",ул. Советская 104 ,Наука и образование
Позитив вкуса,ул. Речицкий проспект 91А ,Быстрое питание
Кондитерский дом Труханов,ул. Ильича 85 ,Товары для дома и дачи
AMI-мебель,ул. Советская 40 (Индекс: 246022),Мебель
Карусель,ул. Советская 149 ,Мебель
У фонтана,ул. Речицкий проспект 45 ,Ремонт одежды
ЛардиБелТранс,ул. Гагарина 49 ,Компьютеры и интернет
Белпочта,ул. М.Г. Ефремова 5 ,Почта
Киви Клин,ул. Кирова 22А ,Ремонт обуви
Косметичка,ул. проспект Октября 22А (Индекс: 246027),Косметика и парфюмерия
kachelka.by,ул. Жарковского 11 ,Садовая мебель
РЭУ № 14 КЖРЭУП Советское,ул. Клермон-Ферран 4 ,Коммунальные службы
I Go Go,ул. Гагарина 65 ,Товары для дома и дачи
Белта УП Гомельский Корпункт,ул. Советская 28 ,Бытовые услуги
Бытовые услуги,ул. Независимости 1В ,Бытовые услуги
Классик,ул. Свиридова 1Е ,Кафе
Средняя школа № 27 г. Гомеля,ул. Песина 30А ,Школы
Сантехнические работы,ул. Якуба Коласа 19 ,Строительство и недвижимость
Адемикс,ул. 8-й переулок Ильича 5/9 ,Продажа корпусной мебели
Мусорная площадка,ул. Крестьянская 33Б ,Бытовые услуги
Белопттул,ул. Барыкина 299 ,Производство и поставки
Adel,ул. проспект Октября 41 (Индекс: 246029),Медицина и фармацевтика
Одежда из Европы,ул. М.Г. Ефремова 11А ,Магазины секонд-хенд
Добрушская Центральная Районная больница,ул. Клермон-Ферран 11 ,Медицина и фармацевтика
Bilita biеэкс,ул. М.Г. Ефремова 11 ,Косметика и парфюмерия
Магнит тур,ул. Речицкий проспект 5В (Индекс: 246027),Турагентство
Магазин семян,ул. Черноморская 13Б ,Товары для дома и дачи
Тренды-бренды,ул. Каменщикова 3 ,Магазины секонд-хенд
Срочный ремонт сотовых,ул. Интернациональная 27 ,Ремонт телефонов
Алегрия-Тур,ул. Крестьянская 43 ,Турагентство
Беларусбанк,ул. Кожара 2 ,Финансовый консалтинг
Доборные Элементы Отливы Сайдинг Профнастил,ул. Техническая 1А ,Стройматериалы
Белпромпак,ул. Брестская 5 ,Тара и упаковка
"Электропроводка, офис",ул. проспект Космонавтов 100 ,Продажа электротехнической продукции
Фаза-Сервис,ул. Богдана Хмельницкого 5 ,Продажа электротехнической продукции
Точка,ул. Речицкий проспект 70Б ,Товары для дома и дачи
"Гомельский государственный аграрно-экономический колледж, корпус № 2",ул. Пролетарская 31 ,Наука и образование
Магазин продуктов,ул. Черниговская 34 ,Товары для дома и дачи
Кубик,ул. Макаёнка 13А ,Товары для дома и дачи
Интернет-магазин Hors.by от ТС Хорс-Моторс,ул. проспект Октября 27 (Индекс: 246029),Спорт
Бухгалтерские услуги,ул. Герцена 1 ,Услуги бухгалтера
PartSell,ул. Островского 101 ,Автомобили
"Гомельский государственный технический университет имени П. О. Сухого, корпус № 2",ул. проспект Октября 48/2 (Индекс: 246029),Наука и образование
Луч,ул. Беларусь Гомель (Индекс: 246029),Спорт
СтройСтиль,ул. Карповича 28 ,Продажа и установка окон
Лебедь/Пошив детских платьев,ул. Киселёва 8 ,Товары для дома и дачи
Свiтанак,ул. Советская 41 (Индекс: 246022),Товары для дома и дачи
Velcom,ул. Карповича 18 ,Телекоммуникации и связь
Общежитие,ул. Книжная 9 ,Туризм
Велопарковка,ул. Советская 20 ,Велопарковка
Одежда из Европы,ул. проспект Победы 17 (Индекс: 246022),Магазины секонд-хенд
Грузоперевозки,ул. Бориса Царикова 48 ,Услуги экспедирования грузов
"Белтепломашстрой, представительство",ул. 2-я Гражданская 5 ,Производство и поставки
